document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,68582,Kaufmann/Ketter property,4116 Shoreham Beach Rd,"Mayo,MD,21106",Anne Arundel,"Complaint, Order, Penalty",Arno Laud,08/05/2013,10/24/2018,Tidal Wetlands,
,68896,Piney Branch Bog,SMECO Row @ Billingsley Rd,"Saint Charles,MD,20602",Charles,Penalty Settlement,,06/19/2012,08/17/2012,Non-Tidal Wetlands,
,69536,Nexus Land Group/jefferson Tech Park/,S SIDE JEFFERSON PIKE IMMED SW OF I-70,"Frederick,MD,21703",Frederick,Penalty Settlement,C-15-2148,09/16/2014,10/02/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,71435,New Plan Maryland Holdings-Liberty Plaza Wal-Mart,8700 Liberty Road,"Randallstown,MD,21133",Baltimore,Penalty Settlement,,08/13/2012,10/09/2012,Notice of Intent,Notice of Intent (Construction)
,71789,McCready Railway & Boatyard,12878 McCready Road,"Lusby,MD,20657",Calvert,,,,10/20/2017,Not Assigned,
,75852,"WeCare Denali, LLC",7800 Kabik Ct.,"Woodbine,MD,21797",Carroll,Settlement Agreement,SA-18-2480,07/17/2017,05/13/2022,Surface Water Discharge Permit,Industrial Stormwater
,77614,Fr Comm/bush Creek Sewer Interceptor/,Green Valley Rd to FR CO LANDFILL,"Ijamsville,MD,21754",Frederick,Penalty Settlement,PS-15-2129,08/04/2014,08/30/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,78229,City Of Westminster/sanitary Sewer,CITY OF WESTMINSTER,"Westminster,MD,",Carroll,Penalty Settlement,Ryan Seavolt,11/18/2014,11/20/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,88532,Capt John's Crabhouse,16215 Cobb Island Rd,"Newburg,MD,20664",Charles,Penalty Settlement,PS-14-1992,09/20/2013,10/04/2013,Tidal Wetlands,
,97509,"F & F Landscaping, Inc","12402 Crestwood Ave, South","Brandywine,MD,20613",Prince George's,Administrative Order,PS-16-2374,03/03/2016,03/17/2016,Surface Water Discharge Unauthorized,Municipal Minor
,97745,Estate Of Philip E Clarke/revetment,24591 Phils Lane,"Hollywood,MD,20636",St. Mary's,Settlement Agreement,SAP-18-2521,02/16/2018,01/14/2019,Not Assigned,
,144338,Sabate,"Mountaindale Rd, Ted Sabate","Thurmont,MD,21788",Frederick,Penalty Settlement,PS-15-2158,09/30/2014,10/17/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Penalty Settlement,C-15-2153,09/30/2014,10/28/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,144601,Dollar General Nave's Crossroads,Nave's Crossroads,"Cumberland,MD,21502",Allegany,Required Confirmation,Eisgruber,07/25/2014,07/22/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,144723,Almost An Island Investments LLC/45979 Clarks Road,45979 Clarks Road,"California,MD,20619",St. Mary's,Penalty Settlement,C-15-2160,10/15/2014,11/05/2014,Sediment,
,144799,Chesapeake Wood Products LLC,5274 Bucktown Rd,"Cambridge,MD,21613",Dorchester,Consent Order,SA-16-2395,04/22/2016,,Non-Tidal Wetlands,
,145335,Hess Property at Kingston Lane and Rt. 413,Routes 413 & Kingston Lane,"Princess Anne,MD,21853",Somerset,Penalty Settlement,Kevin Bull,11/24/2015,11/25/2015,Sediment,
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,14-SF-0259,11/05/2018,11/29/2018,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,Patrick Noyes,11/05/2018,11/29/2018,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
,145784,James McIntyre Property,8811 Courthouse Hill Road,"Pocomoke City,MD,21851",Worcester,,,,,Not Assigned,
,145784,James McIntyre Property,8811 Courthouse Hill Road,"Pocomoke City,MD,21851",Worcester,,,,,Not Assigned,
,145871,Command Technology,7604 Energy Pkwy,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,PS-16-2303,08/25/2015,09/03/2015,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor
,146446,"Federal Realty Investment Trust/ Rommel Holdings, INC. t/a Dennys",1995 E. Joppa Road,"Parkville,MD,21234",Baltimore,Penalty Settlement,PS-15-2267,06/16/2015,06/24/2015,Surface Water Discharge Unauthorized,
,147441,Century Carpet Cleaning Company,Inlet located @ Thunder Island Parking Lot,"Ocean City,MD,21842",Worcester,Penalty Settlement,"Bull, Kevin",08/05/2015,08/28/2015,Surface Water Discharge Unauthorized,Industrial Minor
,148027,Nabely Family Trust,7410 Jefferson Ave,"Hyattsville,MD,20785",Prince George's,Consent Order,CO-19-2574,12/14/2018,11/04/2022,Surface Water Discharge Unauthorized,Industrial Minor
,148166,Swan Harbor Dell Ltd-36 to 40 Walnut Street,36 to 40 Walnut Street,"Aberdeen,MD,21001",Harford,Penalty Settlement,15-NT-0358,04/05/2018,04/24/2018,Non-Tidal Wetlands,
,149820,New Cole Fieldhouse,4090 Union Dr,"College Park,MD,20742",Prince George's,Penalty Settlement,PS-19-2587,04/30/2019,05/10/2019,Notice of Intent;Sediment,Notice of Intent (Construction)
,149906,Jones Junction,1508 & 1510 Bel Air Road,"Bel Air,MD,21014",Harford,Settlement Agreement,Arno Laud,04/13/2016,05/12/2016,Surface Water Discharge Unauthorized,Industrial Stormwater
,153112,City of Rockville DPW,111 Maryland Avenue,"Rockville,MD,20850-2364",Montgomery,Penalty Settlement,Patrick Noyes,03/29/2017,06/21/2017,Surface Water Discharge Permit,Collection System (SSO)
,154335,Hamilton Park,corner of Hamilton Park Rd and Western Pkwy,"Waldorf,MD,20601",Charles,Settlement Agreement,C-18-2498,11/09/2017,12/26/2017,Sediment,
,154560,Terry and Faye Shields,6100 Ray Norwood Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,16-GL-0952,02/12/2018,03/05/2018,Tidal Wetlands,
,155131,Coventry Square Apartments/Hunters Crest at The Villages at Aydelotte Farm,Still Meadow Blvd,"Salisbury,MD,21801",Wicomico,,,10/16/2019,11/08/2019,Not Assigned,
,157135,Prince George's County Public Schools- Salt Storage,13306 Old Marlboro Pike,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,PS-20-2629,01/30/2020,02/19/2020,Surface Water Discharge Unauthorized,Industrial Stormwater
,158633,Wicomico Yacht Club,3346 Yacht Club Rd,"Eden,MD,21822",Wicomico,Penalty Settlement,PS-19-2581,05/14/2019,09/20/2019,Tidal Wetlands,
,158663,Schuster Concrete- Forestville Rd Plant,4333 Forestville Rd,"District Heights,MD,20747",Prince George's,Settlement Agreement,Patrick Noyes,12/14/2018,12/26/2018,Surface Water Discharge Permit,Industrial Minor
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,Complaint & Penalty,AP-12-1635,03/27/2012,02/12/2013,Tidal Wetlands,
,72372,"Barkhimer, Erik/pier  And  Osprey Pole",14990 Chesapeake Bay Dr,"Scotland,MD,20687",St. Mary's,Penalty Settlement,PS-13-1735,10/18/2012,10/18/2012,Tidal Wetlands,
,74039,Tucker Homes Llc/prev. Terra Firma Llc.,MELSON RD,"Delmar,MD,21875",Wicomico,Required Confirmation,SC-O-12-1679,,11/02/2016,Not Applicable,
,75852,"WeCare Denali, LLC",7800 Kabik Ct.,"Woodbine,MD,21797",Carroll,Settlement Agreement,Patrick Noyes,03/22/2013,09/25/2017,Surface Water Discharge Permit,Industrial Minor
,76935,Kuzzens Packing,29643 Kingston Lane,"Westover,MD,21871",Somerset,Complaint & Penalty,AP-13-1862,04/08/2013,05/21/2013,Groundwater Discharge Unauthorized,Industrial Minor
,79293,Homewood Retirement Center/homewood At,WILLOW RD,"Frederick,MD,21702",Frederick,Penalty Settlement,C-15-2253,05/08/2015,05/19/2015,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,79331,Joseph Pagliaro,3241 Holland Cliffs Rd,"Huntingtown,MD,20639",Calvert,Complaint & Order,AOP-14-1961,07/12/2013,07/14/2014,Tidal Wetlands,
,79331,Joseph Pagliaro,3241 Holland Cliffs Rd,"Huntingtown,MD,20639",Calvert,Consent Order,AOP-14-1967,02/28/2014,07/23/2014,Tidal Wetlands,
,81146,BGE-Leakin Park,Leakin Park,"Baltimore,MD,21202",Baltimore City,Penalty Settlement,PS-20-2626,11/05/2019,01/07/2020,Sediment;Surface Water Discharge Unauthorized,Industrial Minor
,82825,Paul Van Cleve,4963 Mountain Road,"Pasadena,MD,21122",Anne Arundel,Settlement Agreement,SAP-15-2167,11/19/2014,12/01/2014,Tidal Wetlands,
,84005,Union Wharf,Thames & Wolfe Sts,"Baltimore,MD,21231",Baltimore City,Penalty Settlement,,08/14/2012,05/30/2013,Notice of Intent,Notice of Intent (Construction)
,90169,Robert Carter,121 Beech St.,"North East,MD,21901",Cecil,Consent Order,SA-18-2507,02/22/2018,,Sediment;Waterway Construction,
,90947,Aa Dpw/cayuga Farms Interceptor Sewer/,UPTON RD,"Severn,MD",Anne Arundel,Settlement Agreement,SA-14-2105,07/07/2014,07/07/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,92446,Paul and Carol Choporis,44841 Glebe Road,"Valley Lee,MD,20692",St. Mary's,Consent Order,CO-17-2426,12/22/2016,05/16/2019,Tidal Wetlands,
,92672,"Sisk, John Douglas/pier",820 Bayfront Ave,"Holland Point,MD,20714",Anne Arundel,Settlement Agreement,Arno Laud,04/28/2016,05/10/2016,Waterway Construction,Municipal Minor
,96365,Lindsay Estabrook,92 Johnson Road,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-17-2472,06/07/2017,07/24/2017,Tidal Wetlands,
,102966,Windsor Knolls Lp/outfall,RTE 75 FRM WINDSOR RD TO KNOLLS PKWY,"Ijamsville,MD",Frederick,Penalty Settlement,SAP-13-1842,02/25/2013,02/25/2013,Notice of Intent,Notice of Intent (Construction)
,104312,Solomons Beacon Inn/bulkhead,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,Arno Laud,09/17/2013,09/18/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,Settlement Agreement,C-18-2505,01/29/2018,02/09/2018,Tidal Wetlands,
,106206,Candlewood Suites Hotel,corner of Cooper Ave & Mapes Rd,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,,11/24/2014,01/14/2015,Sediment,
,108827,"Construction Trades Services, Inc",603 E Church St,"Frederick,MD,21701",Frederick,Penalty Settlement,AP-12-1575,02/06/2012,12/21/2012,Sediment,
,109668,Ignacio Rodriguez,1290 Turkey Point Road,"Edgewater,MD,21037",Anne Arundel,Consent Order,COP-19-2583,03/19/2019,,Tidal Wetlands,
,114216,Gatewater Landing Property Owners,GATEWATER CT,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,Arno Laud,05/09/2017,05/26/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,127405,Dreamcraft Homes-52-56 Johnson Road,52-56 Johnson Road,"Pasadena,MD,21122",Anne Arundel,Consent Order,COP-18-2487,09/25/2017,,Tidal Wetlands,
,128660,AAFB Ambulatory Care Center,38.807103 -76.897326,"Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,11-SF-0142,09/30/2014,10/16/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,Complaint & Penalty,SAP-14-2042,07/22/2013,01/27/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,129786,Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.,Rockawalkin Rd,"Salisbury,MD,21801",Wicomico,,,,,Not Assigned,
,130511,Kinnamon Meadows,Cedar Street,"Greensboro,MD,21639",Caroline,Penalty Settlement,SAP-12-1642,05/04/2012,04/25/2012,Sediment,
,131388,Jims Air Compressor Inc,5815 Arbor Street,"Tuxedo,MD,20781",Prince George's,,,,02/01/2012,Not Assigned,
,131491,WI Bd of Ed/Bennett MS,532 S Division St,"Fruitland,MD,21826",Wicomico,Penalty Settlement,PS-14-1966,08/08/2013,09/18/2013,Sediment,
,131737,BGE POLE 1333242,Falls Rd & Joppa Rd,"Timonium,MD,21209",Baltimore,Settlement Agreement,SAP-14-2079,04/09/2014,05/10/2014,Sediment,
,131836,APG Non-Medical Chemical Defense Facility JPEO,Scully Rd & Bush River Rd,"Aberdeen Proving Ground,MD,21005",Harford,Required Confirmation,Arno Laud,06/21/2013,06/22/2013,Not Assigned,
,132134,Willows Road Business Park,21300 Willows Road,"Lexington Park,MD,20653",St. Mary's,Penalty Settlement,PS-15-2231,02/24/1015,06/16/2015,Notice of Intent,Notice of Intent (Construction)
,132157,FDA Consolidation White Oak Southeast Quad,"Bldg. 52, 71, 72, 75, East Loop Road, FDA White Oak Campus","Silver Spring,MD,20904",Montgomery,Penalty Settlement,PS-13-1857,02/21/2013,03/08/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,132310,Sharp,Capitola Road,"Tyaskin,MD,21865",Wicomico,Administrative Order,SC-O-11-1268,,08/23/2013,Not Applicable,
,134388,3893 Crane Road / John M. Gott Jr.,3893 Crane Road,"Port Republic,MD,20676",Calvert,Settlement Agreement,SA-14-2113,07/16/2014,09/09/2014,Tidal Wetlands,
,134727,Severn Orchard Circle,Severn Orchard Circle,"Severn,MD,21144",Anne Arundel,,,,03/29/2012,Not Assigned,
,134782,Dover Bridge MHP (previously called Prettyman Manor Mobile Home Park),21269 Dover Bridge Road,"Preston,MD,21655",Caroline,Temporary Restraining Order,CO-15-2144,08/13/2012,08/21/2014,Groundwater Discharge Unauthorized,
,134795,United Container Acquisition Building Business Trust,5200 Glen Arm Road,"Glen Arm,MD,21057",Baltimore,Stipulated Penalty,Patrick Noyes,08/26/2019,11/15/2019,Surface Water Discharge Permit,Municipal Minor
,134965,White Ground Bridge Replacement,Shaffer Rd & White Ground Rd,"Boyds,MD,20841",Montgomery,Penalty Settlement,PS-12-1673,05/23/2012,06/19/2012,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,134980,Henry and Dorothy Sherry 8148 Orchard Point Rd,8148 Orchard Point Rd,"Pasadena,MD,21122",Anne Arundel,Consent Order,COP-13-1907,04/15/2013,02/12/2014,Tidal Wetlands,
,135109,Kevin Clark,Rte 36 North,"Barton,MD,21521",Allegany,Site Complaint,,,05/13/2016,Not Applicable,
,135170,Sanitary Sewer Seton Business Park,"Baltimore DPW, Seton Business Park, West Northern Parkway","Baltimore,MD,21215",Baltimore City,Penalty Settlement,SA-13-1864,04/02/2013,05/30/2013,Sediment;Waterway Construction,
,135225,NASA building 25 geothermal,"8800 Greenbelt Rd, Bldg #  25","Greenbelt,MD,20771",Prince George's,Settlement Agreement,SA-12-1700,07/02/2012,07/09/2012,Notice of Intent;Sediment,Notice of Intent (Construction)
,135485,BA CO DPW sediment @ Bird River Grove Rd turn-around,Bird River Grove Rd turn-around across from 11228 Bird River Grove Rd,"White Marsh,MD,21162",Baltimore,Settlement Agreement,SAP-13-1940,06/10/2013,07/03/2013,Sediment,
,135871,NTW vegetation disturbance and removal,3714 Gardendale Drive,"Eden,MD,21822",Wicomico,,SA-12-1707,,07/18/2013,Not Applicable,
,135939,Allegany Research Properties,3 Technology Dr,"Frostburg,MD,21532",Allegany,Penalty Settlement,PS-14-1975,08/02/2013,09/09/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,136036,Perennial Farm,12017 Glen Arm Rd,"Glen Arm,MD,21057",Baltimore,Consent Order,CO-12-1674,05/24/2012,09/14/2014,Waterway Construction,
,136723,Robert Sersen,3802 Chestnut Road,"Middle River,MD,21220",Baltimore,Settlement Agreement,,01/26/2018,04/09/2018,Tidal Wetlands,
,137152,Johnson Auto Parts & Recycling,3360 Livingston Road,"Indian Head,MD,20640",Charles,Consent Decree,JCD-14-2018,10/03/2013,06/17/2015,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
,137852,40274 Waterview Dr,40274 Waterview Dr,"Mechanicsville,MD,20659",St. Mary's,Penalty Settlement,PS-13-1768,09/26/2012,10/22/2012,Tidal Wetlands,
,137925,Mount Lena Rd,21324 Mount Lena Rd,"Boonsboro,MD,21713",Washington,Penalty Settlement,PS-13-1775,10/12/2012,10/12/2012,Sediment,
,137951,Laytonia Recreational Park,NE of 7300 Airpark Road,"Gaithersburg,MD,20877",Montgomery,Penalty Settlement,PS-16-2309,09/02/2015,10/14/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,97870,Schuster Concrete Rockville Plant,15121 Southlawn Lane,"Rockville,MD,20850",Montgomery,Settlement Agreement,Patrick Noyes,12/14/2018,12/26/2018,Surface Water Discharge Permit,Industrial Minor
,98314,Frank Gladhill-Gladhill Acres,11629 Gladhill Brothers Road,"Monrovia,MD,21770",Frederick,Penalty Settlement,15FR0001,02/24/2015,03/20/2015,Notice of Intent,Notice of Intent (Construction)
,99881,Mark Vogel Co/vogel Charlotte Hall/swm,FRNTS E OF RT 5 & N OF MOUNT WOLF RD,"Charlotte Hall,MD,20622",St. Mary's,Complaint & Penalty,SAP-14-2015,04/08/2013,08/27/2015,Notice of Intent;Sediment,
,108827,"Construction Trades Services, Inc",603 E Church St,"Frederick,MD,21701",Frederick,Settlement Agreement,Eisgruber,12/21/2012,09/12/2014,Sediment,
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,Eisgruber,12/21/2012,08/26/2013,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,SAP-13-1814,12/21/2012,08/26/2013,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor
,125561,Rock Creek Management Co-Fairview Marina,1575 Fairview Beach Blvd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1764,11/13/2012,12/10/2013,Tidal Wetlands,
,125720,James Potter,7668 Water Oak Point Road,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1764,12/20/2012,04/24/2013,Tidal Wetlands,
,126391,DD Land Holding LLC-Windsor Manor,Creedon Road,"Bryans Road,MD,20616",Charles,Penalty Settlement,PS-16-2326,10/14/2015,11/02/2015,Notice of Intent,Notice of Intent (Construction)
,126488,Liberty Yacht Club Inc,64 Old South River Rd,"Edgewater,MD,21037",Anne Arundel,Settlement Agreement,Arno Laud,06/02/2014,01/03/2018,Tidal Wetlands,
,127374,Level 3 Communications Llc/i-95 Express,I-895 & I-95,"Baltimore County,MD",Baltimore,Settlement Agreement,SAP-13-1805,11/30/2012,09/14/2014,Sediment,
,127843,"Taylor Jr, John/bulkhead, Revetment  And",954 & 950 Sevarden Lane,"Crownsville,MD,21032",Anne Arundel,,,,08/21/2012,Not Assigned,
,128251,Randall Williams,508 Ashberry Lane,"Severna Park,MD",Anne Arundel,Settlement Agreement,SAP-12-1717,07/13/2012,07/13/2012,Tidal Wetlands,
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,Settlement Agreement,SAP-14-2042,01/27/2014,01/15/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,130874,"638 Rocky Hill Road, Tom & Melissa Mignini","638 Rocky Hill Rd, ADC Map 12 F-11","Sparks,MD,21152",Baltimore,Administrative Order,SAP-14-2080,04/15/2014,04/22/2014,Non-Tidal Wetlands;Waterway Construction,
,131141,City of Baltimore DPW-Environmental Services Division,"Perry Hall Blvd, near Shanti Lane","Fullerton,MD,21237",Baltimore,Settlement Agreement,SAP-14-2079,04/09/2014,05/09/2014,Surface Water Discharge Unauthorized,
,131371,Stream Filling Collington trib,4707 Church Road,"Bowie,MD,20720",Prince George's,,,,,Not Assigned,
,131482,David Smith,1064 Bell Ave,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,PS-16-2351,12/30/2015,02/24/2016,Tidal Wetlands,
,131715,Deal Island & Ford Rd.- Roy Ford Prop.,"Deal Island Rd, At Ford Rd","Deal Island,MD,21821",Somerset,Required Confirmation,John Rafter,,07/02/2015,Not Assigned,
,131793,Franklin Square Professional Center,5233 King Avenue,"Rosedale,MD,21237",Baltimore,Penalty Settlement,PS-13-1873,03/06/2013,04/22/2013,Notice of Intent,Notice of Intent (Construction)
,131880,Wal-mart Real Estate Business Trust South of Legion Road East of its intersection Rt 404/313 Denton,"South of Legion Rd, East , of its intersection Rte 404/313","Denton,MD,21629",Caroline,Penalty Settlement,PS-13-1736,01/28/2013,12/27/2012,Notice of Intent;Sediment,
,131977,Murphy's Run Phase I,Liberty Grove Rd.,"Colora,MD,21917",Cecil,Required Confirmation,SC-O-11-1278,,08/27/2012,Not Applicable,
,131995,Craig Willis,Teats Branch Rd,"Sudlersville,MD,21668",Queen Anne's,Penalty Settlement,PS-14-2035,12/06/2013,12/18/2013,Non-Tidal Wetlands;Sediment,
,132099,Beltsville Auto Recyclers / Balto.,4101 Curtis Avenue,"Baltimore,MD,21226",Baltimore City,Settlement Agreement,Patrick Noyes,12/28/2018,03/26/2019,Surface Water Discharge Permit,Industrial Minor
