document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,144601,Dollar General Nave's Crossroads,Nave's Crossroads,"Cumberland,MD,21502",Allegany,Required Confirmation,Eisgruber,2014-07-25,2015-07-22,Notice of Intent;Sediment,Notice of Intent (Construction),allegany,dollar-general-nave-s-crossroads
,144723,Almost An Island Investments LLC/45979 Clarks Road,45979 Clarks Road,"California,MD,20619",St. Mary's,Penalty Settlement,C-15-2160,2014-10-15,2014-11-05,Sediment,,st-mary-s,almost-an-island-investments-llc-45979-clarks-road
,144799,Chesapeake Wood Products LLC,5274 Bucktown Rd,"Cambridge,MD,21613",Dorchester,Consent Order,SA-16-2395,2016-04-22,,Non-Tidal Wetlands,,dorchester,chesapeake-wood-products-llc
,145335,Hess Property at Kingston Lane and Rt. 413,Routes 413 & Kingston Lane,"Princess Anne,MD,21853",Somerset,Penalty Settlement,Kevin Bull,2015-11-24,2015-11-25,Sediment,,somerset,hess-property-at-kingston-lane-and-rt-413
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,14-SF-0259,2018-11-05,2018-11-29,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,joint-base-andrews-naval-air-facility
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,Patrick Noyes,2018-11-05,2018-11-29,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,joint-base-andrews-naval-air-facility
,145784,James McIntyre Property,8811 Courthouse Hill Road,"Pocomoke City,MD,21851",Worcester,,,,,Not Assigned,,worcester,james-mcintyre-property
,145784,James McIntyre Property,8811 Courthouse Hill Road,"Pocomoke City,MD,21851",Worcester,,,,,Not Assigned,,worcester,james-mcintyre-property
,145871,Command Technology,7604 Energy Pkwy,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,PS-16-2303,2015-08-25,2015-09-03,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel,command-technology
,146446,"Federal Realty Investment Trust/ Rommel Holdings, INC. t/a Dennys",1995 E. Joppa Road,"Parkville,MD,21234",Baltimore,Penalty Settlement,PS-15-2267,2015-06-16,2015-06-24,Surface Water Discharge Unauthorized,,baltimore,federal-realty-investment-trust-rommel-holdings-inc-t-a-dennys
,147441,Century Carpet Cleaning Company,Inlet located @ Thunder Island Parking Lot,"Ocean City,MD,21842",Worcester,Penalty Settlement,"Bull, Kevin",2015-08-05,2015-08-28,Surface Water Discharge Unauthorized,Industrial Minor,worcester,century-carpet-cleaning-company
,148027,Nabely Family Trust,7410 Jefferson Ave,"Hyattsville,MD,20785",Prince George's,Consent Order,CO-19-2574,2018-12-14,2022-11-04,Surface Water Discharge Unauthorized,Industrial Minor,prince-george-s,nabely-family-trust
,148166,Swan Harbor Dell Ltd-36 to 40 Walnut Street,36 to 40 Walnut Street,"Aberdeen,MD,21001",Harford,Penalty Settlement,15-NT-0358,2018-04-05,2018-04-24,Non-Tidal Wetlands,,harford,swan-harbor-dell-ltd-36-to-40-walnut-street
,149820,New Cole Fieldhouse,4090 Union Dr,"College Park,MD,20742",Prince George's,Penalty Settlement,PS-19-2587,2019-04-30,2019-05-10,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,new-cole-fieldhouse
,149906,Jones Junction,1508 & 1510 Bel Air Road,"Bel Air,MD,21014",Harford,Settlement Agreement,Arno Laud,2016-04-13,2016-05-12,Surface Water Discharge Unauthorized,Industrial Stormwater,harford,jones-junction
,153112,City of Rockville DPW,111 Maryland Avenue,"Rockville,MD,20850-2364",Montgomery,Penalty Settlement,Patrick Noyes,2017-03-29,2017-06-21,Surface Water Discharge Permit,Collection System (SSO),montgomery,city-of-rockville-dpw
,154335,Hamilton Park,corner of Hamilton Park Rd and Western Pkwy,"Waldorf,MD,20601",Charles,Settlement Agreement,C-18-2498,2017-11-09,2017-12-26,Sediment,,charles,hamilton-park
,154560,Terry and Faye Shields,6100 Ray Norwood Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,16-GL-0952,2018-02-12,2018-03-05,Tidal Wetlands,,calvert,terry-and-faye-shields
,155131,Coventry Square Apartments/Hunters Crest at The Villages at Aydelotte Farm,Still Meadow Blvd,"Salisbury,MD,21801",Wicomico,,,2019-10-16,2019-11-08,Not Assigned,,wicomico,coventry-square-apartments-hunters-crest-at-the-villages-at-aydelotte-farm
,157135,Prince George's County Public Schools- Salt Storage,13306 Old Marlboro Pike,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,PS-20-2629,2020-01-30,2020-02-19,Surface Water Discharge Unauthorized,Industrial Stormwater,prince-george-s,prince-george-s-county-public-schools-salt-storage
,158633,Wicomico Yacht Club,3346 Yacht Club Rd,"Eden,MD,21822",Wicomico,Penalty Settlement,PS-19-2581,2019-05-14,2019-09-20,Tidal Wetlands,,wicomico,wicomico-yacht-club
,158663,Schuster Concrete- Forestville Rd Plant,4333 Forestville Rd,"District Heights,MD,20747",Prince George's,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,prince-george-s,schuster-concrete-forestville-rd-plant
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,Complaint & Penalty,AP-12-1635,2012-03-27,2013-02-12,Tidal Wetlands,,talbot,hollingsworth-joe-stream-xing
,72372,"Barkhimer, Erik/pier  And  Osprey Pole",14990 Chesapeake Bay Dr,"Scotland,MD,20687",St. Mary's,Penalty Settlement,PS-13-1735,2012-10-18,2012-10-18,Tidal Wetlands,,st-mary-s,barkhimer-erik-pier-and-osprey-pole
,74039,Tucker Homes Llc/prev. Terra Firma Llc.,MELSON RD,"Delmar,MD,21875",Wicomico,Required Confirmation,SC-O-12-1679,,2016-11-02,Not Applicable,,wicomico,tucker-homes-llc-prev-terra-firma-llc
,75852,"WeCare Denali, LLC",7800 Kabik Ct.,"Woodbine,MD,21797",Carroll,Settlement Agreement,Patrick Noyes,2013-03-22,2017-09-25,Surface Water Discharge Permit,Industrial Minor,carroll,wecare-denali-llc
,76935,Kuzzens Packing,29643 Kingston Lane,"Westover,MD,21871",Somerset,Complaint & Penalty,AP-13-1862,2013-04-08,2013-05-21,Groundwater Discharge Unauthorized,Industrial Minor,somerset,kuzzens-packing
,79293,Homewood Retirement Center/homewood At,WILLOW RD,"Frederick,MD,21702",Frederick,Penalty Settlement,C-15-2253,2015-05-08,2015-05-19,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),frederick,homewood-retirement-center-homewood-at
,79331,Joseph Pagliaro,3241 Holland Cliffs Rd,"Huntingtown,MD,20639",Calvert,Complaint & Order,AOP-14-1961,2013-07-12,2014-07-14,Tidal Wetlands,,calvert,joseph-pagliaro
,79331,Joseph Pagliaro,3241 Holland Cliffs Rd,"Huntingtown,MD,20639",Calvert,Consent Order,AOP-14-1967,2014-02-28,2014-07-23,Tidal Wetlands,,calvert,joseph-pagliaro
,81146,BGE-Leakin Park,Leakin Park,"Baltimore,MD,21202",Baltimore City,Penalty Settlement,PS-20-2626,2019-11-05,2020-01-07,Sediment;Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city,bge-leakin-park
,82825,Paul Van Cleve,4963 Mountain Road,"Pasadena,MD,21122",Anne Arundel,Settlement Agreement,SAP-15-2167,2014-11-19,2014-12-01,Tidal Wetlands,,anne-arundel,paul-van-cleve
,84005,Union Wharf,Thames & Wolfe Sts,"Baltimore,MD,21231",Baltimore City,Penalty Settlement,,2012-08-14,2013-05-30,Notice of Intent,Notice of Intent (Construction),baltimore-city,union-wharf
,90169,Robert Carter,121 Beech St.,"North East,MD,21901",Cecil,Consent Order,SA-18-2507,2018-02-22,,Sediment;Waterway Construction,,cecil,robert-carter
,90947,Aa Dpw/cayuga Farms Interceptor Sewer/,UPTON RD,"Severn,MD",Anne Arundel,Settlement Agreement,SA-14-2105,2014-07-07,2014-07-07,Notice of Intent;Sediment,Notice of Intent (Construction),anne-arundel,aa-dpw-cayuga-farms-interceptor-sewer
,92446,Paul and Carol Choporis,44841 Glebe Road,"Valley Lee,MD,20692",St. Mary's,Consent Order,CO-17-2426,2016-12-22,2019-05-16,Tidal Wetlands,,st-mary-s,paul-and-carol-choporis
,92672,"Sisk, John Douglas/pier",820 Bayfront Ave,"Holland Point,MD,20714",Anne Arundel,Settlement Agreement,Arno Laud,2016-04-28,2016-05-10,Waterway Construction,Municipal Minor,anne-arundel,sisk-john-douglas-pier
,96365,Lindsay Estabrook,92 Johnson Road,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-17-2472,2017-06-07,2017-07-24,Tidal Wetlands,,anne-arundel,lindsay-estabrook
,102966,Windsor Knolls Lp/outfall,RTE 75 FRM WINDSOR RD TO KNOLLS PKWY,"Ijamsville,MD",Frederick,Penalty Settlement,SAP-13-1842,2013-02-25,2013-02-25,Notice of Intent,Notice of Intent (Construction),frederick,windsor-knolls-lp-outfall
,104312,Solomons Beacon Inn/bulkhead,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,Arno Laud,2013-09-17,2013-09-18,Surface Water Discharge Unauthorized,Collection System (SSO),calvert,solomons-beacon-inn-bulkhead
,105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,Settlement Agreement,C-18-2505,2018-01-29,2018-02-09,Tidal Wetlands,,calvert,town-of-chesapeake-beach-fishing-creek
,106206,Candlewood Suites Hotel,corner of Cooper Ave & Mapes Rd,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,,2014-11-24,2015-01-14,Sediment,,anne-arundel,candlewood-suites-hotel
,108827,"Construction Trades Services, Inc",603 E Church St,"Frederick,MD,21701",Frederick,Penalty Settlement,AP-12-1575,2012-02-06,2012-12-21,Sediment,,frederick,construction-trades-services-inc
,109668,Ignacio Rodriguez,1290 Turkey Point Road,"Edgewater,MD,21037",Anne Arundel,Consent Order,COP-19-2583,2019-03-19,,Tidal Wetlands,,anne-arundel,ignacio-rodriguez
,114216,Gatewater Landing Property Owners,GATEWATER CT,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,Arno Laud,2017-05-09,2017-05-26,Surface Water Discharge Unauthorized,Collection System (SSO),anne-arundel,gatewater-landing-property-owners
,127405,Dreamcraft Homes-52-56 Johnson Road,52-56 Johnson Road,"Pasadena,MD,21122",Anne Arundel,Consent Order,COP-18-2487,2017-09-25,,Tidal Wetlands,,anne-arundel,dreamcraft-homes-52-56-johnson-road
,128660,AAFB Ambulatory Care Center,38.807103 -76.897326,"Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,11-SF-0142,2014-09-30,2014-10-16,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,aafb-ambulatory-care-center
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,Complaint & Penalty,SAP-14-2042,2013-07-22,2014-01-27,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,birdlawn-llc-rd-xings-swm-pond-and
,129786,Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.,Rockawalkin Rd,"Salisbury,MD,21801",Wicomico,,,,,Not Assigned,,wicomico,brock-parker-property-lots-1-2-rockawalkin-rd
,130511,Kinnamon Meadows,Cedar Street,"Greensboro,MD,21639",Caroline,Penalty Settlement,SAP-12-1642,2012-05-04,2012-04-25,Sediment,,caroline,kinnamon-meadows
,131388,Jims Air Compressor Inc,5815 Arbor Street,"Tuxedo,MD,20781",Prince George's,,,,2012-02-01,Not Assigned,,prince-george-s,jims-air-compressor-inc
,131491,WI Bd of Ed/Bennett MS,532 S Division St,"Fruitland,MD,21826",Wicomico,Penalty Settlement,PS-14-1966,2013-08-08,2013-09-18,Sediment,,wicomico,wi-bd-of-ed-bennett-ms
,131737,BGE POLE 1333242,Falls Rd & Joppa Rd,"Timonium,MD,21209",Baltimore,Settlement Agreement,SAP-14-2079,2014-04-09,2014-05-10,Sediment,,baltimore,bge-pole-1333242
,131836,APG Non-Medical Chemical Defense Facility JPEO,Scully Rd & Bush River Rd,"Aberdeen Proving Ground,MD,21005",Harford,Required Confirmation,Arno Laud,2013-06-21,2013-06-22,Not Assigned,,harford,apg-non-medical-chemical-defense-facility-jpeo
,132134,Willows Road Business Park,21300 Willows Road,"Lexington Park,MD,20653",St. Mary's,Penalty Settlement,PS-15-2231,,2015-06-16,Notice of Intent,Notice of Intent (Construction),st-mary-s,willows-road-business-park
,132157,FDA Consolidation White Oak Southeast Quad,"Bldg. 52, 71, 72, 75, East Loop Road, FDA White Oak Campus","Silver Spring,MD,20904",Montgomery,Penalty Settlement,PS-13-1857,2013-02-21,2013-03-08,Notice of Intent;Sediment,Notice of Intent (Construction),montgomery,fda-consolidation-white-oak-southeast-quad
,132310,Sharp,Capitola Road,"Tyaskin,MD,21865",Wicomico,Administrative Order,SC-O-11-1268,,2013-08-23,Not Applicable,,wicomico,sharp
,134388,3893 Crane Road / John M. Gott Jr.,3893 Crane Road,"Port Republic,MD,20676",Calvert,Settlement Agreement,SA-14-2113,2014-07-16,2014-09-09,Tidal Wetlands,,calvert,3893-crane-road-john-m-gott-jr
,134727,Severn Orchard Circle,Severn Orchard Circle,"Severn,MD,21144",Anne Arundel,,,,2012-03-29,Not Assigned,,anne-arundel,severn-orchard-circle
,134782,Dover Bridge MHP (previously called Prettyman Manor Mobile Home Park),21269 Dover Bridge Road,"Preston,MD,21655",Caroline,Temporary Restraining Order,CO-15-2144,2012-08-13,2014-08-21,Groundwater Discharge Unauthorized,,caroline,dover-bridge-mhp-previously-called-prettyman-manor-mobile-home-park
,134795,United Container Acquisition Building Business Trust,5200 Glen Arm Road,"Glen Arm,MD,21057",Baltimore,Stipulated Penalty,Patrick Noyes,2019-08-26,2019-11-15,Surface Water Discharge Permit,Municipal Minor,baltimore,united-container-acquisition-building-business-trust
,134965,White Ground Bridge Replacement,Shaffer Rd & White Ground Rd,"Boyds,MD,20841",Montgomery,Penalty Settlement,PS-12-1673,2012-05-23,2012-06-19,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),montgomery,white-ground-bridge-replacement
,134980,Henry and Dorothy Sherry 8148 Orchard Point Rd,8148 Orchard Point Rd,"Pasadena,MD,21122",Anne Arundel,Consent Order,COP-13-1907,2013-04-15,2014-02-12,Tidal Wetlands,,anne-arundel,henry-and-dorothy-sherry-8148-orchard-point-rd
,135109,Kevin Clark,Rte 36 North,"Barton,MD,21521",Allegany,Site Complaint,,,2016-05-13,Not Applicable,,allegany,kevin-clark
,135170,Sanitary Sewer Seton Business Park,"Baltimore DPW, Seton Business Park, West Northern Parkway","Baltimore,MD,21215",Baltimore City,Penalty Settlement,SA-13-1864,2013-04-02,2013-05-30,Sediment;Waterway Construction,,baltimore-city,sanitary-sewer-seton-business-park
,135225,NASA building 25 geothermal,"8800 Greenbelt Rd, Bldg #  25","Greenbelt,MD,20771",Prince George's,Settlement Agreement,SA-12-1700,2012-07-02,2012-07-09,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,nasa-building-25-geothermal
,135485,BA CO DPW sediment @ Bird River Grove Rd turn-around,Bird River Grove Rd turn-around across from 11228 Bird River Grove Rd,"White Marsh,MD,21162",Baltimore,Settlement Agreement,SAP-13-1940,2013-06-10,2013-07-03,Sediment,,baltimore,ba-co-dpw-sediment-bird-river-grove-rd-turn-around
,135871,NTW vegetation disturbance and removal,3714 Gardendale Drive,"Eden,MD,21822",Wicomico,,SA-12-1707,,2013-07-18,Not Applicable,,wicomico,ntw-vegetation-disturbance-and-removal
,135939,Allegany Research Properties,3 Technology Dr,"Frostburg,MD,21532",Allegany,Penalty Settlement,PS-14-1975,2013-08-02,2013-09-09,Notice of Intent;Sediment,Notice of Intent (Construction),allegany,allegany-research-properties
,136036,Perennial Farm,12017 Glen Arm Rd,"Glen Arm,MD,21057",Baltimore,Consent Order,CO-12-1674,2012-05-24,2014-09-14,Waterway Construction,,baltimore,perennial-farm
,136723,Robert Sersen,3802 Chestnut Road,"Middle River,MD,21220",Baltimore,Settlement Agreement,,2018-01-26,2018-04-09,Tidal Wetlands,,baltimore,robert-sersen
,137152,Johnson Auto Parts & Recycling,3360 Livingston Road,"Indian Head,MD,20640",Charles,Consent Decree,JCD-14-2018,2013-10-03,2015-06-17,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),charles,johnson-auto-parts-recycling
,137852,40274 Waterview Dr,40274 Waterview Dr,"Mechanicsville,MD,20659",St. Mary's,Penalty Settlement,PS-13-1768,2012-09-26,2012-10-22,Tidal Wetlands,,st-mary-s,40274-waterview-dr
,137925,Mount Lena Rd,21324 Mount Lena Rd,"Boonsboro,MD,21713",Washington,Penalty Settlement,PS-13-1775,2012-10-12,2012-10-12,Sediment,,washington,mount-lena-rd
,137951,Laytonia Recreational Park,NE of 7300 Airpark Road,"Gaithersburg,MD,20877",Montgomery,Penalty Settlement,PS-16-2309,2015-09-02,2015-10-14,Notice of Intent;Sediment,Notice of Intent (Construction),montgomery,laytonia-recreational-park
,97870,Schuster Concrete Rockville Plant,15121 Southlawn Lane,"Rockville,MD,20850",Montgomery,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,montgomery,schuster-concrete-rockville-plant
,98314,Frank Gladhill-Gladhill Acres,11629 Gladhill Brothers Road,"Monrovia,MD,21770",Frederick,Penalty Settlement,15FR0001,2015-02-24,2015-03-20,Notice of Intent,Notice of Intent (Construction),frederick,frank-gladhill-gladhill-acres
,99881,Mark Vogel Co/vogel Charlotte Hall/swm,FRNTS E OF RT 5 & N OF MOUNT WOLF RD,"Charlotte Hall,MD,20622",St. Mary's,Complaint & Penalty,SAP-14-2015,2013-04-08,2015-08-27,Notice of Intent;Sediment,,st-mary-s,mark-vogel-co-vogel-charlotte-hall-swm
,108827,"Construction Trades Services, Inc",603 E Church St,"Frederick,MD,21701",Frederick,Settlement Agreement,Eisgruber,2012-12-21,2014-09-12,Sediment,,frederick,construction-trades-services-inc
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,Eisgruber,2012-12-21,2013-08-26,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor,charles,mona-scott-port-tobacco-marina-dredging
,111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Settlement Agreement,SAP-13-1814,2012-12-21,2013-08-26,Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor,charles,mona-scott-port-tobacco-marina-dredging
,125561,Rock Creek Management Co-Fairview Marina,1575 Fairview Beach Blvd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1764,2012-11-13,2013-12-10,Tidal Wetlands,,anne-arundel,rock-creek-management-co-fairview-marina
,125720,James Potter,7668 Water Oak Point Road,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1764,2012-12-20,2013-04-24,Tidal Wetlands,,anne-arundel,james-potter
,126391,DD Land Holding LLC-Windsor Manor,Creedon Road,"Bryans Road,MD,20616",Charles,Penalty Settlement,PS-16-2326,2015-10-14,2015-11-02,Notice of Intent,Notice of Intent (Construction),charles,dd-land-holding-llc-windsor-manor
,126488,Liberty Yacht Club Inc,64 Old South River Rd,"Edgewater,MD,21037",Anne Arundel,Settlement Agreement,Arno Laud,2014-06-02,2018-01-03,Tidal Wetlands,,anne-arundel,liberty-yacht-club-inc
,127374,Level 3 Communications Llc/i-95 Express,I-895 & I-95,"Baltimore County,MD",Baltimore,Settlement Agreement,SAP-13-1805,2012-11-30,2014-09-14,Sediment,,baltimore,level-3-communications-llc-i-95-express
,127843,"Taylor Jr, John/bulkhead, Revetment  And",954 & 950 Sevarden Lane,"Crownsville,MD,21032",Anne Arundel,,,,2012-08-21,Not Assigned,,anne-arundel,taylor-jr-john-bulkhead-revetment-and
,128251,Randall Williams,508 Ashberry Lane,"Severna Park,MD",Anne Arundel,Settlement Agreement,SAP-12-1717,2012-07-13,2012-07-13,Tidal Wetlands,,anne-arundel,randall-williams
,128846,"Birdlawn Llc/rd Xings, Swm Pond  And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,Settlement Agreement,SAP-14-2042,2014-01-27,2015-01-15,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,birdlawn-llc-rd-xings-swm-pond-and
,130874,"638 Rocky Hill Road, Tom & Melissa Mignini","638 Rocky Hill Rd, ADC Map 12 F-11","Sparks,MD,21152",Baltimore,Administrative Order,SAP-14-2080,2014-04-15,2014-04-22,Non-Tidal Wetlands;Waterway Construction,,baltimore,638-rocky-hill-road-tom-melissa-mignini
,131141,City of Baltimore DPW-Environmental Services Division,"Perry Hall Blvd, near Shanti Lane","Fullerton,MD,21237",Baltimore,Settlement Agreement,SAP-14-2079,2014-04-09,2014-05-09,Surface Water Discharge Unauthorized,,baltimore,city-of-baltimore-dpw-environmental-services-division
